layer_band,trait,prompt_group,pooling_rule,mean_pairwise_cosine
late_25_31,A,neutral_controls,mean_tokens,0.03804088951931113
late_25_31,C,ipip_stems,final_token,0.056743586383121984
late_25_31,C,ipip_stems,mean_tokens,0.04961746471763683
late_25_31,C,naturalistic_behavioral,final_token,0.03541496036033086
late_25_31,C,naturalistic_behavioral,mean_tokens,0.01892121268352747
late_25_31,C,neutral_controls,final_token,0.03912694812368343
late_25_31,C,neutral_controls,mean_tokens,0.021268894662805998
late_25_31,E,ipip_stems,final_token,0.01619222188655267
late_25_31,E,ipip_stems,mean_tokens,0.03540590451661797
late_25_31,E,naturalistic_behavioral,final_token,0.004014519386690206
late_25_31,E,naturalistic_behavioral,mean_tokens,0.005549145446005929
late_25_31,E,neutral_controls,final_token,0.0013216626484715002
late_25_31,E,neutral_controls,mean_tokens,0.014642378792246929
late_25_31,N,ipip_stems,final_token,0.008242380886395614
late_25_31,N,ipip_stems,mean_tokens,0.028804136726269487
late_25_31,N,naturalistic_behavioral,final_token,0.007770319961950172
late_25_31,N,naturalistic_behavioral,mean_tokens,0.012645077303323999
late_25_31,N,neutral_controls,final_token,0.015153465848963443
late_25_31,N,neutral_controls,mean_tokens,0.015583405286419386
late_25_31,O,ipip_stems,final_token,0.009211819843042899
late_25_31,O,ipip_stems,mean_tokens,0.009205958393549972
late_25_31,O,naturalistic_behavioral,final_token,0.0072142878207890285
late_25_31,O,naturalistic_behavioral,mean_tokens,0.0083616707953004
late_25_31,O,neutral_controls,final_token,0.010926841486409414
late_25_31,O,neutral_controls,mean_tokens,0.007288200294858529
middle_8_24,A,ipip_stems,final_token,0.05117252826467366
middle_8_24,A,ipip_stems,mean_tokens,0.03700716601350021
middle_8_24,A,naturalistic_behavioral,final_token,0.01830473670791891
middle_8_24,A,naturalistic_behavioral,mean_tokens,0.019010303347113736
middle_8_24,A,neutral_controls,final_token,0.04401074465290529
middle_8_24,A,neutral_controls,mean_tokens,0.028485877755264746
middle_8_24,C,ipip_stems,final_token,0.04101143578593281
middle_8_24,C,ipip_stems,mean_tokens,0.029687828758845985
middle_8_24,C,naturalistic_behavioral,final_token,0.02581435123588106
middle_8_24,C,naturalistic_behavioral,mean_tokens,0.01173877106825076
middle_8_24,C,neutral_controls,final_token,0.018877207652006057
middle_8_24,C,neutral_controls,mean_tokens,0.009847333895966134
middle_8_24,E,ipip_stems,final_token,0.011803771982959219
middle_8_24,E,ipip_stems,mean_tokens,0.007638953969233895
middle_8_24,E,naturalistic_behavioral,final_token,0.005108612126054729
middle_8_24,E,naturalistic_behavioral,mean_tokens,-0.0010954370923158146
middle_8_24,E,neutral_controls,final_token,-0.0016610744959499354
middle_8_24,E,neutral_controls,mean_tokens,-0.00013310747849747055
middle_8_24,N,ipip_stems,final_token,0.004409009325680093
middle_8_24,N,ipip_stems,mean_tokens,0.04140035010468593
middle_8_24,N,naturalistic_behavioral,final_token,0.0069108978853227
middle_8_24,N,naturalistic_behavioral,mean_tokens,0.011904488876392684
middle_8_24,N,neutral_controls,final_token,0.004594210023849306
middle_8_24,N,neutral_controls,mean_tokens,0.022120958873723923
middle_8_24,O,ipip_stems,final_token,0.009593822783400565
middle_8_24,O,ipip_stems,mean_tokens,0.007051617316164941
middle_8_24,O,naturalistic_behavioral,final_token,0.007204704797754606
middle_8_24,O,naturalistic_behavioral,mean_tokens,0.008285949707915146
middle_8_24,O,neutral_controls,final_token,0.006383058673323053
middle_8_24,O,neutral_controls,mean_tokens,0.0053107112726894995
