ptype,adapter,ocean_bit_string,human_readable_profile,O_high,C_high,E_high,A_high,N_high,row_count,unique_trait_tuple_proxy_count,nominal_optimizer_steps,effective_update_frobenius_norm,effective_update_spectral_aggregate_norm,adapter_sha256,row_weighted_O_centroid,unique_tuple_weighted_O_centroid,row_weighted_C_centroid,unique_tuple_weighted_C_centroid,row_weighted_E_centroid,unique_tuple_weighted_E_centroid,row_weighted_A_centroid,unique_tuple_weighted_A_centroid,row_weighted_N_centroid,unique_tuple_weighted_N_centroid
0,ptype_0,00000,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,0,0,0,0,0,159137,79,4974,85.08547792018025,54.94457247451469,e7eba65dbc9560dac32ca75c0f8a9fc9c7f19ff09b8503c57b00bf36dd20754a,24.550927816912477,22.582278481012654,27.695155746306643,27.9873417721519,23.523259832722747,24.139240506329116,21.73083569503007,19.455696202531644,23.49703714409597,25.72151898734177
18,ptype_18,10010,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,1,0,0,1,0,16183,17,506,21.520523002017296,16.254352689529778,e0b4e12a5a25c64f83357f9c6c0015477730d05c0828c41532f63189bb311870,61.98467527652475,75.0,24.840635234505346,29.47058823529412,24.44478774022122,20.47058823529412,69.37539393190384,75.82352941176471,15.867329914107396,23.529411764705884
19,ptype_19,10011,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,1,0,0,1,1,28097,7,879,32.47435330603659,24.538463600937543,8d6144874502a7ce7f53188833b4169b5a8b275a301abf9f32c82d8a4aea9c72,75.62302025127238,81.0,41.86450510730683,32.142857142857146,23.690821084101504,16.142857142857142,58.77492258960032,63.57142857142857,57.42605972167847,63.285714285714285
20,ptype_20,10100,Openness high; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low,1,0,1,0,0,58662,30,1834,47.87562803213834,34.10145788122502,8f774acbe6460195f38d2bdb6994a875d213bd6faab7bc86c4989c7c0442b5ff,77.83652108690464,74.55,22.36575636698374,25.23333333333333,74.96534383416862,75.8,14.050407418771949,16.566666666666666,35.86524496266748,29.466666666666665
21,ptype_21,10101,Openness high; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,1,0,1,0,1,27804,19,869,32.889891026513624,25.45405777747086,c8fae57c8b946ec6c17be7786e4541eed71ecc9447c069db274eca23a7d64d4d,75.15037404689973,78.73684210526316,46.12972953531866,30.0,73.10408574305855,76.47368421052632,17.407423392317654,19.42105263157895,85.22863616745792,76.89473684210526
22,ptype_22,10110,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,1,0,1,1,0,15075,8,472,20.019009031511956,14.487925018453696,8fc8c40add577c502a965ed63f805b7d8f273d4f35f0f56153f6a1b42584b244,90.89426202321724,78.625,48.50142620232173,42.75,92.54142620232172,75.375,88.95867330016584,76.75,22.443316749585406,20.0
23,ptype_23,10111,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,1,0,1,1,1,486,5,16,3.599366320296154,1.8867782490131197,4e8043f301afe136ef1bd390d9e84d7635efeacc51dc28b6db359f6d6d9c5aed,83.5246913580247,70.2,14.006172839506172,14.4,60.52057613168724,71.2,58.890946502057616,74.6,75.26748971193416,69.8
24,ptype_24,11000,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,1,1,0,0,0,120763,63,3774,77.6397960356408,51.97341335064449,5677c0a461fcb28c0e5434a3f74066fbdc65351b39c71995fb53853267914f6c,80.76031565959772,78.96825396825396,76.92666628023484,79.44444444444444,25.928566696753144,25.325396825396822,32.34492352790176,27.20634920634921,25.484651755918616,23.825396825396822
25,ptype_25,11001,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,1,1,0,0,1,273049,119,8533,108.86766182141716,65.1240074640261,87577a93a004561d43f16de255242f21612aacefff77d8525966886d888fdcf4,79.50859735798336,76.4327731092437,80.14530908371758,79.73949579831933,23.028344729334297,21.869747899159663,24.86102860658709,18.23949579831933,78.63768041633553,80.10504201680672
26,ptype_26,11010,Openness high; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low,1,1,0,1,0,82449,47,2577,57.75859929766729,40.62122342998983,985f2096dc0de4826697952272eb224d39ee6955421119b162f20337374c7007,76.8765236691773,74.90425531914893,85.88472267704884,83.79787234042553,18.36714817644847,22.680851063829788,75.23640674841417,78.01063829787235,29.46008441582069,22.47872340425532
27,ptype_27,11011,Openness high; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high,1,1,0,1,1,38458,39,1202,36.95745507686574,26.800362285349625,0af7736f43e00e1a227bd59e9a3904adec2d8cbbc66e4623cee4bb57c2495d1e,67.96553382911227,72.03846153846153,86.82424983098446,81.33333333333333,19.413321025534348,21.397435897435894,80.57122055229081,76.43589743589743,81.61416350304228,76.93589743589743
28,ptype_28,11100,Openness high; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low,1,1,1,0,0,77420,56,2420,60.5412840033481,42.08744214574522,b61816240ddbe96023d1d43e0939125ef70daeb19c980fbaa0a0113b2a57d232,80.96582924308964,78.84821428571429,76.33529449754586,77.98214285714286,79.01000387496771,74.01785714285714,18.139104882459318,23.830357142857142,29.49334151382072,25.026785714285715
29,ptype_29,11101,Openness high; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high,1,1,1,0,1,85323,40,2667,57.9212202090611,40.18990180524456,8073ec517d460e38848ce5594334d46b70cd86eb078f4bc36533113595a57fb6,81.75263996812114,78.3625,74.67519308978822,79.05,77.58519977028469,73.425,25.168289910106303,21.4375,68.30242724704945,76.1125
30,ptype_30,11110,Openness high; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism low,1,1,1,1,0,89461,47,2796,61.03663195846342,42.468678206497295,7dafdb9551b6fb153394af5fb3eadab71073dc7298fc98470b381d86c3f01bf7,72.86984272476275,75.43617021276596,76.72181173919361,80.86170212765957,74.35655760610769,77.5,67.80865405036832,74.54255319148936,20.106253004102346,20.159574468085108
31,ptype_31,11111,Openness high; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,1,1,1,1,1,93178,31,2912,65.57962989112886,44.66819291582416,2919d58c713d9b3e2318d9b5518801ff4e3c5ee93e60add67b2acbb6e672c2fb,68.91137392946833,70.38709677419355,76.65535319496018,81.88709677419355,76.05386464616112,70.64516129032258,71.1614436884243,74.61290322580645,67.46120865440339,72.95161290322581
