ptype,row_count_recomputed,unique_trait_tuple_count_recomputed,O_high_recomputed,O_high_target,row_weighted_O_mean_abs_diff,row_weighted_O_median_abs_diff,row_weighted_O_std_abs_diff,unique_trait_tuple_weighted_O_mean_abs_diff,unique_trait_tuple_weighted_O_median_abs_diff,unique_trait_tuple_weighted_O_std_abs_diff,C_high_recomputed,C_high_target,row_weighted_C_mean_abs_diff,row_weighted_C_median_abs_diff,row_weighted_C_std_abs_diff,unique_trait_tuple_weighted_C_mean_abs_diff,unique_trait_tuple_weighted_C_median_abs_diff,unique_trait_tuple_weighted_C_std_abs_diff,E_high_recomputed,E_high_target,row_weighted_E_mean_abs_diff,row_weighted_E_median_abs_diff,row_weighted_E_std_abs_diff,unique_trait_tuple_weighted_E_mean_abs_diff,unique_trait_tuple_weighted_E_median_abs_diff,unique_trait_tuple_weighted_E_std_abs_diff,A_high_recomputed,A_high_target,row_weighted_A_mean_abs_diff,row_weighted_A_median_abs_diff,row_weighted_A_std_abs_diff,unique_trait_tuple_weighted_A_mean_abs_diff,unique_trait_tuple_weighted_A_median_abs_diff,unique_trait_tuple_weighted_A_std_abs_diff,N_high_recomputed,N_high_target,row_weighted_N_mean_abs_diff,row_weighted_N_median_abs_diff,row_weighted_N_std_abs_diff,unique_trait_tuple_weighted_N_mean_abs_diff,unique_trait_tuple_weighted_N_median_abs_diff,unique_trait_tuple_weighted_N_std_abs_diff,row_count_target,unique_trait_tuple_count_target,maximum_centroid_stat_abs_diff,exact_class_and_bits_match
13,64344,44,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,64344,44,1.7763568394002505e-15,True
14,67423,52,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,67423,52,1.7763568394002505e-15,True
15,19430,14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,19430,14,1.7763568394002505e-15,True
16,60871,29,1,1,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0,0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,60871,29,3.552713678800501e-15,True
17,125443,47,1,1,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,125443,47,1.7763568394002505e-15,True
18,16183,17,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,16183,17,1.7763568394002505e-15,True
19,28097,7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,4.440892098500626e-16,0.0,0.0,1.7763568394002505e-15,1,1,0.0,0.0,0.0,0.0,0.0,0.0,28097,7,1.7763568394002505e-15,True
20,58662,30,1,1,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.7763568394002505e-15,0.0,0.0,1.7763568394002505e-15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,58662,30,1.7763568394002505e-15,True
21,27804,19,1,1,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,27804,19,1.7763568394002505e-15,True
22,15075,8,1,1,1.4210854715202004e-14,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0,0,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,1,1,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15075,8,1.4210854715202004e-14,True
23,486,5,1,1,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,486,5,1.7763568394002505e-15,True
24,120763,63,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.7763568394002505e-15,3.552713678800501e-15,0.0,1.7763568394002505e-15,0,0,0.0,0.0,1.7763568394002505e-15,3.552713678800501e-15,0.0,0.0,0,0,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,120763,63,3.552713678800501e-15,True
25,273049,119,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,273049,119,1.7763568394002505e-15,True
26,82449,47,1,1,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,82449,47,1.7763568394002505e-15,True
27,38458,39,1,1,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.7763568394002505e-15,3.552713678800501e-15,0.0,0.0,1,1,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,38458,39,3.552713678800501e-15,True
28,77420,56,1,1,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,1,1,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,1,1,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0,0,3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,77420,56,3.552713678800501e-15,True
29,85323,40,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0,0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,85323,40,1.7763568394002505e-15,True
30,89461,47,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,1.7763568394002505e-15,89461,47,1.7763568394002505e-15,True
31,93178,31,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1,1,0.0,0.0,0.0,0.0,0.0,0.0,93178,31,1.7763568394002505e-15,True
