mapping_id,position_order_high_to_low_weight,polarity_inverted,is_intended_mapping,behavioral_interface,behavioral_binary_correlation,behavioral_target_directed_count_of_20,behavioral_hamming_distance_of_20,activation_binary_pearson_median,activation_binary_spearman_median
positions=OCAEN;polarity=inverted,OCAEN,True,False,A_label_rotation,0.1230897208864285,9,11,-0.1164417087902701,-0.05797710356524484
positions=OCAEN;polarity=inverted,OCAEN,True,False,B_context_calibrated_labels,-0.14522078861059792,12,11,-0.1164417087902701,-0.05797710356524484
positions=OCAEN;polarity=inverted,OCAEN,True,False,C_calibrated_verbal_anchors,0.024006026851890322,7,10,-0.1164417087902701,-0.05797710356524484
positions=OCANE;polarity=high_is_1,OCANE,False,False,A_label_rotation,-0.0671627394123881,11,9,-0.1164417087902701,-0.05797710356524484
positions=OCANE;polarity=high_is_1,OCANE,False,False,B_context_calibrated_labels,0.2651738931042874,6,9,-0.1164417087902701,-0.05797710356524484
positions=OCANE;polarity=high_is_1,OCANE,False,False,C_calibrated_verbal_anchors,0.16480477076481787,13,8,-0.1164417087902701,-0.05797710356524484
positions=OCANE;polarity=inverted,OCANE,True,False,A_label_rotation,0.06716273941238807,9,11,-0.1164417087902701,-0.05797710356524484
positions=OCANE;polarity=inverted,OCANE,True,False,B_context_calibrated_labels,-0.26517389310428746,14,11,-0.1164417087902701,-0.05797710356524484
positions=OCANE;polarity=inverted,OCANE,True,False,C_calibrated_verbal_anchors,-0.16480477076481787,7,12,-0.1164417087902701,-0.05797710356524484
positions=OCNEA;polarity=high_is_1,OCNEA,False,False,A_label_rotation,0.31154204854071865,13,7,-0.1164417087902701,-0.05797710356524484
positions=OCNEA;polarity=high_is_1,OCNEA,False,False,B_context_calibrated_labels,0.0935411835799947,6,11,-0.1164417087902701,-0.05797710356524484
positions=OCNEA;polarity=high_is_1,OCNEA,False,False,C_calibrated_verbal_anchors,-0.08106537709629696,11,10,-0.1164417087902701,-0.05797710356524484
positions=OCNEA;polarity=inverted,OCNEA,True,False,A_label_rotation,-0.3115420485407187,7,13,-0.1164417087902701,-0.05797710356524484
positions=OCNEA;polarity=inverted,OCNEA,True,False,B_context_calibrated_labels,-0.09354118357999476,14,9,-0.1164417087902701,-0.05797710356524484
positions=OCNEA;polarity=inverted,OCNEA,True,False,C_calibrated_verbal_anchors,0.08106537709629698,9,10,-0.1164417087902701,-0.05797710356524484
positions=OCNAE;polarity=high_is_1,OCNAE,False,False,A_label_rotation,-0.0671627394123881,11,9,-0.1164417087902701,-0.05797710356524484
positions=OCNAE;polarity=high_is_1,OCNAE,False,False,B_context_calibrated_labels,0.2651738931042874,6,9,-0.1164417087902701,-0.05797710356524484
positions=OCNAE;polarity=high_is_1,OCNAE,False,False,C_calibrated_verbal_anchors,0.16480477076481787,13,8,-0.1164417087902701,-0.05797710356524484
positions=OCNAE;polarity=inverted,OCNAE,True,False,A_label_rotation,0.06716273941238807,9,11,-0.1164417087902701,-0.05797710356524484
positions=OCNAE;polarity=inverted,OCNAE,True,False,B_context_calibrated_labels,-0.26517389310428746,14,11,-0.1164417087902701,-0.05797710356524484
positions=OCNAE;polarity=inverted,OCNAE,True,False,C_calibrated_verbal_anchors,-0.16480477076481787,7,12,-0.1164417087902701,-0.05797710356524484
positions=OECAN;polarity=high_is_1,OECAN,False,False,A_label_rotation,-0.2696784225486383,9,11,-0.1164417087902701,-0.05797710356524484
positions=OECAN;polarity=high_is_1,OECAN,False,False,B_context_calibrated_labels,0.21093212665712294,10,9,-0.1164417087902701,-0.05797710356524484
positions=OECAN;polarity=high_is_1,OECAN,False,False,C_calibrated_verbal_anchors,0.2794009779801281,13,8,-0.1164417087902701,-0.05797710356524484
positions=OECAN;polarity=inverted,OECAN,True,False,A_label_rotation,0.2696784225486383,11,9,-0.1164417087902701,-0.05797710356524484
positions=OECAN;polarity=inverted,OECAN,True,False,B_context_calibrated_labels,-0.21093212665712294,10,11,-0.1164417087902701,-0.05797710356524484
positions=OECAN;polarity=inverted,OECAN,True,False,C_calibrated_verbal_anchors,-0.2794009779801281,7,12,-0.1164417087902701,-0.05797710356524484
positions=OECNA;polarity=high_is_1,OECNA,False,False,A_label_rotation,0.16495334687850888,11,9,-0.1164417087902701,-0.05797710356524484
positions=OECNA;polarity=high_is_1,OECNA,False,False,B_context_calibrated_labels,0.1592525216265197,8,11,-0.1164417087902701,-0.05797710356524484
positions=OECNA;polarity=high_is_1,OECNA,False,False,C_calibrated_verbal_anchors,0.22234162773572147,11,8,-0.1164417087902701,-0.05797710356524484
positions=OECNA;polarity=inverted,OECNA,True,False,A_label_rotation,-0.16495334687850888,9,11,-0.1164417087902701,-0.05797710356524484
positions=OECNA;polarity=inverted,OECNA,True,False,B_context_calibrated_labels,-0.1592525216265197,12,9,-0.1164417087902701,-0.05797710356524484
positions=OECNA;polarity=inverted,OECNA,True,False,C_calibrated_verbal_anchors,-0.22234162773572147,9,12,-0.1164417087902701,-0.05797710356524484
positions=OEACN;polarity=high_is_1,OEACN,False,False,A_label_rotation,-0.2696784225486383,9,11,-0.1164417087902701,-0.05797710356524484
positions=OEACN;polarity=high_is_1,OEACN,False,False,B_context_calibrated_labels,0.21093212665712294,10,9,-0.1164417087902701,-0.05797710356524484
positions=OEACN;polarity=high_is_1,OEACN,False,False,C_calibrated_verbal_anchors,0.2794009779801281,13,8,-0.1164417087902701,-0.05797710356524484
positions=OEACN;polarity=inverted,OEACN,True,False,A_label_rotation,0.2696784225486383,11,9,-0.1164417087902701,-0.05797710356524484
positions=OEACN;polarity=inverted,OEACN,True,False,B_context_calibrated_labels,-0.21093212665712294,10,11,-0.1164417087902701,-0.05797710356524484
positions=OEACN;polarity=inverted,OEACN,True,False,C_calibrated_verbal_anchors,-0.2794009779801281,7,12,-0.1164417087902701,-0.05797710356524484
positions=OEANC;polarity=high_is_1,OEANC,False,False,A_label_rotation,-0.018425850221300118,9,9,-0.1164417087902701,-0.05797710356524484
positions=OEANC;polarity=high_is_1,OEANC,False,False,B_context_calibrated_labels,0.20737885254710153,8,9,-0.1164417087902701,-0.05797710356524484
positions=OEANC;polarity=high_is_1,OEANC,False,False,C_calibrated_verbal_anchors,0.32810352567750783,11,6,-0.1164417087902701,-0.05797710356524484
positions=OEANC;polarity=inverted,OEANC,True,False,A_label_rotation,0.018425850221300118,11,11,-0.1164417087902701,-0.05797710356524484
positions=OEANC;polarity=inverted,OEANC,True,False,B_context_calibrated_labels,-0.20737885254710153,12,11,-0.1164417087902701,-0.05797710356524484
positions=OEANC;polarity=inverted,OEANC,True,False,C_calibrated_verbal_anchors,-0.32810352567750783,9,14,-0.1164417087902701,-0.05797710356524484
positions=OENCA;polarity=high_is_1,OENCA,False,False,A_label_rotation,0.16495334687850888,11,9,-0.1164417087902701,-0.05797710356524484
positions=OENCA;polarity=high_is_1,OENCA,False,False,B_context_calibrated_labels,0.1592525216265197,8,11,-0.1164417087902701,-0.05797710356524484
positions=OENCA;polarity=high_is_1,OENCA,False,False,C_calibrated_verbal_anchors,0.22234162773572147,11,8,-0.1164417087902701,-0.05797710356524484
positions=OENCA;polarity=inverted,OENCA,True,False,A_label_rotation,-0.16495334687850888,9,11,-0.1164417087902701,-0.05797710356524484
positions=OENCA;polarity=inverted,OENCA,True,False,B_context_calibrated_labels,-0.1592525216265197,12,9,-0.1164417087902701,-0.05797710356524484
positions=OENCA;polarity=inverted,OENCA,True,False,C_calibrated_verbal_anchors,-0.22234162773572147,9,12,-0.1164417087902701,-0.05797710356524484
positions=OENAC;polarity=high_is_1,OENAC,False,False,A_label_rotation,-0.018425850221300118,9,9,-0.1164417087902701,-0.05797710356524484
positions=OENAC;polarity=high_is_1,OENAC,False,False,B_context_calibrated_labels,0.20737885254710153,8,9,-0.1164417087902701,-0.05797710356524484
positions=OENAC;polarity=high_is_1,OENAC,False,False,C_calibrated_verbal_anchors,0.32810352567750783,11,6,-0.1164417087902701,-0.05797710356524484
positions=OENAC;polarity=inverted,OENAC,True,False,A_label_rotation,0.018425850221300118,11,11,-0.1164417087902701,-0.05797710356524484
positions=OENAC;polarity=inverted,OENAC,True,False,B_context_calibrated_labels,-0.20737885254710153,12,11,-0.1164417087902701,-0.05797710356524484
positions=OENAC;polarity=inverted,OENAC,True,False,C_calibrated_verbal_anchors,-0.32810352567750783,9,14,-0.1164417087902701,-0.05797710356524484
positions=OACEN;polarity=high_is_1,OACEN,False,False,A_label_rotation,0.025294856960012276,13,9,-0.1164417087902701,-0.05797710356524484
positions=OACEN;polarity=high_is_1,OACEN,False,False,B_context_calibrated_labels,0.12572064274731795,8,11,-0.1164417087902701,-0.05797710356524484
positions=OACEN;polarity=high_is_1,OACEN,False,False,C_calibrated_verbal_anchors,-0.21733045183955105,13,12,-0.1164417087902701,-0.05797710356524484
positions=OACEN;polarity=inverted,OACEN,True,False,A_label_rotation,-0.025294856960012265,7,11,-0.1164417087902701,-0.05797710356524484
positions=OACEN;polarity=inverted,OACEN,True,False,B_context_calibrated_labels,-0.12572064274731798,12,9,-0.1164417087902701,-0.05797710356524484
positions=OACEN;polarity=inverted,OACEN,True,False,C_calibrated_verbal_anchors,0.21733045183955105,7,8,-0.1164417087902701,-0.05797710356524484
positions=OACNE;polarity=high_is_1,OACNE,False,False,A_label_rotation,0.0812218384340527,13,9,-0.1164417087902701,-0.05797710356524484
positions=OACNE;polarity=high_is_1,OACNE,False,False,B_context_calibrated_labels,0.24567374724100752,6,11,-0.1164417087902701,-0.05797710356524484
positions=OACNE;polarity=high_is_1,OACNE,False,False,C_calibrated_verbal_anchors,-0.028519654222842826,13,10,-0.1164417087902701,-0.05797710356524484
positions=OACNE;polarity=inverted,OACNE,True,False,A_label_rotation,-0.0812218384340527,7,11,-0.1164417087902701,-0.05797710356524484
positions=OACNE;polarity=inverted,OACNE,True,False,B_context_calibrated_labels,-0.24567374724100752,14,9,-0.1164417087902701,-0.05797710356524484
positions=OACNE;polarity=inverted,OACNE,True,False,C_calibrated_verbal_anchors,0.028519654222842823,7,10,-0.1164417087902701,-0.05797710356524484
positions=OAECN;polarity=high_is_1,OAECN,False,False,A_label_rotation,0.025294856960012276,13,9,-0.1164417087902701,-0.05797710356524484
positions=OAECN;polarity=high_is_1,OAECN,False,False,B_context_calibrated_labels,0.12572064274731795,8,11,-0.1164417087902701,-0.05797710356524484
positions=OAECN;polarity=high_is_1,OAECN,False,False,C_calibrated_verbal_anchors,-0.21733045183955105,13,12,-0.1164417087902701,-0.05797710356524484
positions=OAECN;polarity=inverted,OAECN,True,False,A_label_rotation,-0.025294856960012265,7,11,-0.1164417087902701,-0.05797710356524484
positions=OAECN;polarity=inverted,OAECN,True,False,B_context_calibrated_labels,-0.12572064274731798,12,9,-0.1164417087902701,-0.05797710356524484
positions=OAECN;polarity=inverted,OAECN,True,False,C_calibrated_verbal_anchors,0.21733045183955105,7,8,-0.1164417087902701,-0.05797710356524484
positions=OAENC;polarity=high_is_1,OAENC,False,False,A_label_rotation,0.2765474292873504,13,7,-0.1164417087902701,-0.05797710356524484
positions=OAENC;polarity=high_is_1,OAENC,False,False,B_context_calibrated_labels,0.12216736863729658,6,11,-0.1164417087902701,-0.05797710356524484
positions=OAENC;polarity=high_is_1,OAENC,False,False,C_calibrated_verbal_anchors,-0.1686279041421713,11,10,-0.1164417087902701,-0.05797710356524484
positions=OAENC;polarity=inverted,OAENC,True,False,A_label_rotation,-0.2765474292873504,7,13,-0.1164417087902701,-0.05797710356524484
positions=OAENC;polarity=inverted,OAENC,True,False,B_context_calibrated_labels,-0.12216736863729659,14,9,-0.1164417087902701,-0.05797710356524484
positions=OAENC;polarity=inverted,OAENC,True,False,C_calibrated_verbal_anchors,0.1686279041421713,9,10,-0.1164417087902701,-0.05797710356524484
positions=OANCE;polarity=high_is_1,OANCE,False,False,A_label_rotation,0.0812218384340527,13,9,-0.1164417087902701,-0.05797710356524484
positions=OANCE;polarity=high_is_1,OANCE,False,False,B_context_calibrated_labels,0.24567374724100752,6,11,-0.1164417087902701,-0.05797710356524484
positions=OANCE;polarity=high_is_1,OANCE,False,False,C_calibrated_verbal_anchors,-0.028519654222842826,13,10,-0.1164417087902701,-0.05797710356524484
positions=OANCE;polarity=inverted,OANCE,True,False,A_label_rotation,-0.0812218384340527,7,11,-0.1164417087902701,-0.05797710356524484
positions=OANCE;polarity=inverted,OANCE,True,False,B_context_calibrated_labels,-0.24567374724100752,14,9,-0.1164417087902701,-0.05797710356524484
positions=OANCE;polarity=inverted,OANCE,True,False,C_calibrated_verbal_anchors,0.028519654222842823,7,10,-0.1164417087902701,-0.05797710356524484
positions=OANEC;polarity=high_is_1,OANEC,False,False,A_label_rotation,0.2765474292873504,13,7,-0.1164417087902701,-0.05797710356524484
positions=OANEC;polarity=high_is_1,OANEC,False,False,B_context_calibrated_labels,0.12216736863729658,6,11,-0.1164417087902701,-0.05797710356524484
positions=OANEC;polarity=high_is_1,OANEC,False,False,C_calibrated_verbal_anchors,-0.1686279041421713,11,10,-0.1164417087902701,-0.05797710356524484
positions=OANEC;polarity=inverted,OANEC,True,False,A_label_rotation,-0.2765474292873504,7,13,-0.1164417087902701,-0.05797710356524484
positions=OANEC;polarity=inverted,OANEC,True,False,B_context_calibrated_labels,-0.12216736863729659,14,9,-0.1164417087902701,-0.05797710356524484
positions=OANEC;polarity=inverted,OANEC,True,False,C_calibrated_verbal_anchors,0.1686279041421713,9,10,-0.1164417087902701,-0.05797710356524484
positions=ONCEA;polarity=high_is_1,ONCEA,False,False,A_label_rotation,0.24463989209609782,11,7,-0.1164417087902701,-0.05797710356524484
positions=ONCEA;polarity=high_is_1,ONCEA,False,False,B_context_calibrated_labels,0.20126194339902945,10,9,-0.1164417087902701,-0.05797710356524484
positions=ONCEA;polarity=high_is_1,ONCEA,False,False,C_calibrated_verbal_anchors,0.22362222149946256,11,10,-0.1164417087902701,-0.05797710356524484
positions=ONCEA;polarity=inverted,ONCEA,True,False,A_label_rotation,-0.24463989209609788,9,13,-0.1164417087902701,-0.05797710356524484
positions=ONCEA;polarity=inverted,ONCEA,True,False,B_context_calibrated_labels,-0.20126194339902953,10,11,-0.1164417087902701,-0.05797710356524484
positions=ONCEA;polarity=inverted,ONCEA,True,False,C_calibrated_verbal_anchors,-0.22362222149946256,9,10,-0.1164417087902701,-0.05797710356524484
positions=ONCAE;polarity=high_is_1,ONCAE,False,False,A_label_rotation,-0.13406489585700884,9,9,-0.1164417087902701,-0.05797710356524484
positions=ONCAE;polarity=high_is_1,ONCAE,False,False,B_context_calibrated_labels,0.3728946529233222,10,7,-0.1164417087902701,-0.05797710356524484
positions=ONCAE;polarity=high_is_1,ONCAE,False,False,C_calibrated_verbal_anchors,0.4694923693605774,13,8,-0.1164417087902701,-0.05797710356524484
positions=ONCAE;polarity=inverted,ONCAE,True,False,A_label_rotation,0.13406489585700884,11,11,-0.1164417087902701,-0.05797710356524484
positions=ONCAE;polarity=inverted,ONCAE,True,False,B_context_calibrated_labels,-0.37289465292332225,10,13,-0.1164417087902701,-0.05797710356524484
positions=ONCAE;polarity=inverted,ONCAE,True,False,C_calibrated_verbal_anchors,-0.4694923693605774,7,12,-0.1164417087902701,-0.05797710356524484
positions=ONECA;polarity=high_is_1,ONECA,False,False,A_label_rotation,0.24463989209609782,11,7,-0.1164417087902701,-0.05797710356524484
positions=ONECA;polarity=high_is_1,ONECA,False,False,B_context_calibrated_labels,0.20126194339902945,10,9,-0.1164417087902701,-0.05797710356524484
positions=ONECA;polarity=high_is_1,ONECA,False,False,C_calibrated_verbal_anchors,0.22362222149946256,11,10,-0.1164417087902701,-0.05797710356524484
positions=ONECA;polarity=inverted,ONECA,True,False,A_label_rotation,-0.24463989209609788,9,13,-0.1164417087902701,-0.05797710356524484
positions=ONECA;polarity=inverted,ONECA,True,False,B_context_calibrated_labels,-0.20126194339902953,10,11,-0.1164417087902701,-0.05797710356524484
positions=ONECA;polarity=inverted,ONECA,True,False,C_calibrated_verbal_anchors,-0.22362222149946256,9,10,-0.1164417087902701,-0.05797710356524484
positions=ONEAC;polarity=high_is_1,ONEAC,False,False,A_label_rotation,0.06126069499628887,9,7,-0.1164417087902701,-0.05797710356524484
positions=ONEAC;polarity=high_is_1,ONEAC,False,False,B_context_calibrated_labels,0.24938827431961128,10,7,-0.1164417087902701,-0.05797710356524484
positions=ONEAC;polarity=high_is_1,ONEAC,False,False,C_calibrated_verbal_anchors,0.32938411944124896,11,8,-0.1164417087902701,-0.05797710356524484
positions=ONEAC;polarity=inverted,ONEAC,True,False,A_label_rotation,-0.06126069499628888,11,13,-0.1164417087902701,-0.05797710356524484
positions=ONEAC;polarity=inverted,ONEAC,True,False,B_context_calibrated_labels,-0.24938827431961139,10,13,-0.1164417087902701,-0.05797710356524484
positions=ONEAC;polarity=inverted,ONEAC,True,False,C_calibrated_verbal_anchors,-0.32938411944124896,9,12,-0.1164417087902701,-0.05797710356524484
positions=ONACE;polarity=high_is_1,ONACE,False,False,A_label_rotation,-0.13406489585700884,9,9,-0.1164417087902701,-0.05797710356524484
positions=ONACE;polarity=high_is_1,ONACE,False,False,B_context_calibrated_labels,0.3728946529233222,10,7,-0.1164417087902701,-0.05797710356524484
positions=ONACE;polarity=high_is_1,ONACE,False,False,C_calibrated_verbal_anchors,0.4694923693605774,13,8,-0.1164417087902701,-0.05797710356524484
positions=ONACE;polarity=inverted,ONACE,True,False,A_label_rotation,0.13406489585700884,11,11,-0.1164417087902701,-0.05797710356524484
positions=ONACE;polarity=inverted,ONACE,True,False,B_context_calibrated_labels,-0.37289465292332225,10,13,-0.1164417087902701,-0.05797710356524484
positions=ONACE;polarity=inverted,ONACE,True,False,C_calibrated_verbal_anchors,-0.4694923693605774,7,12,-0.1164417087902701,-0.05797710356524484
positions=ONAEC;polarity=high_is_1,ONAEC,False,False,A_label_rotation,0.06126069499628887,9,7,-0.1164417087902701,-0.05797710356524484
positions=ONAEC;polarity=high_is_1,ONAEC,False,False,B_context_calibrated_labels,0.24938827431961128,10,7,-0.1164417087902701,-0.05797710356524484
positions=ONAEC;polarity=high_is_1,ONAEC,False,False,C_calibrated_verbal_anchors,0.32938411944124896,11,8,-0.1164417087902701,-0.05797710356524484
positions=ONAEC;polarity=inverted,ONAEC,True,False,A_label_rotation,-0.06126069499628888,11,13,-0.1164417087902701,-0.05797710356524484
positions=ONAEC;polarity=inverted,ONAEC,True,False,B_context_calibrated_labels,-0.24938827431961139,10,13,-0.1164417087902701,-0.05797710356524484
positions=ONAEC;polarity=inverted,ONAEC,True,False,C_calibrated_verbal_anchors,-0.32938411944124896,9,12,-0.1164417087902701,-0.05797710356524484
positions=COEAN;polarity=high_is_1,COEAN,False,False,A_label_rotation,-0.12315692588175167,11,9,-0.1164417087902701,-0.05797710356524484
positions=COEAN;polarity=high_is_1,COEAN,False,False,B_context_calibrated_labels,0.14891758579507156,10,9,-0.1164417087902701,-0.05797710356524484
positions=COEAN;polarity=high_is_1,COEAN,False,False,C_calibrated_verbal_anchors,-0.020515469241400144,11,10,-0.1164417087902701,-0.05797710356524484
positions=COEAN;polarity=inverted,COEAN,True,False,A_label_rotation,0.1231569258817517,9,11,-0.1164417087902701,-0.05797710356524484
positions=COEAN;polarity=inverted,COEAN,True,False,B_context_calibrated_labels,-0.14891758579507156,10,11,-0.1164417087902701,-0.05797710356524484
positions=COEAN;polarity=inverted,COEAN,True,False,C_calibrated_verbal_anchors,0.020515469241400155,9,10,-0.1164417087902701,-0.05797710356524484
positions=COENA;polarity=high_is_1,COENA,False,False,A_label_rotation,0.31147484354539545,13,7,-0.1164417087902701,-0.05797710356524484
positions=COENA;polarity=high_is_1,COENA,False,False,B_context_calibrated_labels,0.09723798076446837,8,11,-0.1164417087902701,-0.05797710356524484
positions=COENA;polarity=high_is_1,COENA,False,False,C_calibrated_verbal_anchors,-0.0775748194858068,9,10,-0.1164417087902701,-0.05797710356524484
positions=COENA;polarity=inverted,COENA,True,False,A_label_rotation,-0.31147484354539545,7,13,-0.1164417087902701,-0.05797710356524484
positions=COENA;polarity=inverted,COENA,True,False,B_context_calibrated_labels,-0.09723798076446837,12,9,-0.1164417087902701,-0.05797710356524484
positions=COENA;polarity=inverted,COENA,True,False,C_calibrated_verbal_anchors,0.07757481948580679,11,10,-0.1164417087902701,-0.05797710356524484
positions=COAEN;polarity=high_is_1,COAEN,False,False,A_label_rotation,-0.12315692588175167,11,9,-0.1164417087902701,-0.05797710356524484
positions=COAEN;polarity=high_is_1,COAEN,False,False,B_context_calibrated_labels,0.14891758579507156,10,9,-0.1164417087902701,-0.05797710356524484
positions=COAEN;polarity=high_is_1,COAEN,False,False,C_calibrated_verbal_anchors,-0.020515469241400144,11,10,-0.1164417087902701,-0.05797710356524484
positions=COAEN;polarity=inverted,COAEN,True,False,A_label_rotation,0.1231569258817517,9,11,-0.1164417087902701,-0.05797710356524484
positions=COAEN;polarity=inverted,COAEN,True,False,B_context_calibrated_labels,-0.14891758579507156,10,11,-0.1164417087902701,-0.05797710356524484
positions=COAEN;polarity=inverted,COAEN,True,False,C_calibrated_verbal_anchors,0.020515469241400155,9,10,-0.1164417087902701,-0.05797710356524484
positions=COANE;polarity=high_is_1,COANE,False,False,A_label_rotation,-0.06722994440771124,11,9,-0.1164417087902701,-0.05797710356524484
positions=COANE;polarity=high_is_1,COANE,False,False,B_context_calibrated_labels,0.2688706902887611,8,9,-0.1164417087902701,-0.05797710356524484
positions=COANE;polarity=high_is_1,COANE,False,False,C_calibrated_verbal_anchors,0.16829532837530803,11,8,-0.1164417087902701,-0.05797710356524484
positions=COANE;polarity=inverted,COANE,True,False,A_label_rotation,0.06722994440771124,9,11,-0.1164417087902701,-0.05797710356524484
positions=COANE;polarity=inverted,COANE,True,False,B_context_calibrated_labels,-0.2688706902887611,12,11,-0.1164417087902701,-0.05797710356524484
positions=COANE;polarity=inverted,COANE,True,False,C_calibrated_verbal_anchors,-0.16829532837530803,9,12,-0.1164417087902701,-0.05797710356524484
positions=CONEA;polarity=high_is_1,CONEA,False,False,A_label_rotation,0.31147484354539545,13,7,-0.1164417087902701,-0.05797710356524484
positions=CONEA;polarity=high_is_1,CONEA,False,False,B_context_calibrated_labels,0.09723798076446837,8,11,-0.1164417087902701,-0.05797710356524484
positions=CONEA;polarity=high_is_1,CONEA,False,False,C_calibrated_verbal_anchors,-0.0775748194858068,9,10,-0.1164417087902701,-0.05797710356524484
positions=CONEA;polarity=inverted,CONEA,True,False,A_label_rotation,-0.31147484354539545,7,13,-0.1164417087902701,-0.05797710356524484
positions=CONEA;polarity=inverted,CONEA,True,False,B_context_calibrated_labels,-0.09723798076446837,12,9,-0.1164417087902701,-0.05797710356524484
positions=CONEA;polarity=inverted,CONEA,True,False,C_calibrated_verbal_anchors,0.07757481948580679,11,10,-0.1164417087902701,-0.05797710356524484
positions=CONAE;polarity=high_is_1,CONAE,False,False,A_label_rotation,-0.06722994440771124,11,9,-0.1164417087902701,-0.05797710356524484
positions=CONAE;polarity=high_is_1,CONAE,False,False,B_context_calibrated_labels,0.2688706902887611,8,9,-0.1164417087902701,-0.05797710356524484
positions=CONAE;polarity=high_is_1,CONAE,False,False,C_calibrated_verbal_anchors,0.16829532837530803,11,8,-0.1164417087902701,-0.05797710356524484
positions=CONAE;polarity=inverted,CONAE,True,False,A_label_rotation,0.06722994440771124,9,11,-0.1164417087902701,-0.05797710356524484
positions=CONAE;polarity=inverted,CONAE,True,False,B_context_calibrated_labels,-0.2688706902887611,12,11,-0.1164417087902701,-0.05797710356524484
positions=CONAE;polarity=inverted,CONAE,True,False,C_calibrated_verbal_anchors,-0.16829532837530803,9,12,-0.1164417087902701,-0.05797710356524484
positions=CEOAN;polarity=high_is_1,CEOAN,False,False,A_label_rotation,-0.2696784225486383,9,11,-0.1164417087902701,-0.05797710356524484
positions=CEOAN;polarity=high_is_1,CEOAN,False,False,B_context_calibrated_labels,0.21093212665712294,10,9,-0.1164417087902701,-0.05797710356524484
positions=CEOAN;polarity=high_is_1,CEOAN,False,False,C_calibrated_verbal_anchors,0.2794009779801281,13,8,-0.1164417087902701,-0.05797710356524484
positions=CEOAN;polarity=inverted,CEOAN,True,False,A_label_rotation,0.2696784225486383,11,9,-0.1164417087902701,-0.05797710356524484
positions=CEOAN;polarity=inverted,CEOAN,True,False,B_context_calibrated_labels,-0.21093212665712294,10,11,-0.1164417087902701,-0.05797710356524484
positions=CEOAN;polarity=inverted,CEOAN,True,False,C_calibrated_verbal_anchors,-0.2794009779801281,7,12,-0.1164417087902701,-0.05797710356524484
positions=CEONA;polarity=high_is_1,CEONA,False,False,A_label_rotation,0.16495334687850888,11,9,-0.1164417087902701,-0.05797710356524484
positions=CEONA;polarity=high_is_1,CEONA,False,False,B_context_calibrated_labels,0.1592525216265197,8,11,-0.1164417087902701,-0.05797710356524484
positions=CEONA;polarity=high_is_1,CEONA,False,False,C_calibrated_verbal_anchors,0.22234162773572147,11,8,-0.1164417087902701,-0.05797710356524484
positions=CEONA;polarity=inverted,CEONA,True,False,A_label_rotation,-0.16495334687850888,9,11,-0.1164417087902701,-0.05797710356524484
positions=CEONA;polarity=inverted,CEONA,True,False,B_context_calibrated_labels,-0.1592525216265197,12,9,-0.1164417087902701,-0.05797710356524484
positions=CEONA;polarity=inverted,CEONA,True,False,C_calibrated_verbal_anchors,-0.22234162773572147,9,12,-0.1164417087902701,-0.05797710356524484
