ptype,adapter,pilot_adapter,trait,training_row_count,mean,median,standard_deviation_population,percentile_05,percentile_25,percentile_75,percentile_95,minimum,maximum,row_weighted_centroid,unique_trait_tuple_weighted_centroid,row_centroid_recompute_abs_diff,unique_centroid_recompute_abs_diff
3,ptype_3,False,C,36335,41.60476124948397,40.0,3.4659005562558978,40.0,40.0,45.0,45.0,13.0,49.0,41.60476124948397,36.75,0.0,0.0
3,ptype_3,False,E,36335,25.986596945094263,39.0,15.18077705828528,6.0,6.0,39.0,39.0,0.0,46.0,25.986596945094263,18.75,0.0,0.0
3,ptype_3,False,A,36335,84.68226228154671,97.0,16.57200385904605,59.0,59.0,97.0,97.0,57.0,97.0,84.68226228154671,74.1875,0.0,0.0
3,ptype_3,False,N,36335,80.65350213292969,73.0,9.524271850512827,73.0,73.0,92.0,93.0,54.0,99.0,80.65350213292969,80.9375,0.0,0.0
4,ptype_4,False,O,86106,16.832764267298447,13.0,14.081732565134462,1.0,6.0,32.0,49.0,0.0,50.0,16.832764267298447,16.948275862068964,0.0,0.0
4,ptype_4,False,C,86106,22.844459154995008,19.0,12.44642146212199,6.0,11.0,31.0,45.0,1.0,50.0,22.844459154995008,25.189655172413794,0.0,0.0
4,ptype_4,False,E,86106,75.5349452999791,78.0,16.386084549519726,55.0,60.0,92.0,99.0,51.0,99.0,75.5349452999791,77.46551724137932,0.0,0.0
4,ptype_4,False,A,86106,20.82147585534109,21.0,13.465674424060547,1.0,11.0,28.0,47.0,0.0,50.0,20.82147585534109,19.03448275862069,0.0,0.0
4,ptype_4,False,N,86106,27.589726616031403,33.0,16.948472763359604,1.0,13.0,45.0,49.0,0.0,50.0,27.589726616031403,20.724137931034484,0.0,0.0
5,ptype_5,False,O,26428,11.219275011351597,8.0,11.365843291323163,1.0,1.0,19.0,34.0,1.0,50.0,11.219275011351597,20.074074074074073,0.0,0.0
5,ptype_5,False,C,26428,28.65623581050401,37.0,14.111541731774642,8.0,17.0,38.0,47.0,2.0,50.0,28.65623581050401,28.0,0.0,0.0
5,ptype_5,False,E,26428,71.71462085666717,72.0,11.598796261356755,57.0,61.0,83.0,93.0,52.0,98.0,71.71462085666717,76.07407407407408,0.0,0.0
5,ptype_5,False,A,26428,11.546163160284546,8.0,9.247723123176605,1.0,8.0,17.0,38.0,0.0,46.0,11.546163160284546,13.37037037037037,0.0,0.0
5,ptype_5,False,N,26428,76.50889208415317,78.0,11.57777006759786,61.0,67.0,85.0,90.0,52.0,99.0,76.50889208415317,81.07407407407408,0.0,0.0
6,ptype_6,False,O,78856,15.763188596936187,12.0,10.874311780011228,2.0,10.0,17.0,38.0,0.0,41.0,15.763188596936187,13.4,0.0,0.0
6,ptype_6,False,C,78856,29.406005884143248,35.0,14.368345359746764,6.0,15.0,41.0,50.0,3.0,50.0,29.406005884143248,32.27142857142857,0.0,0.0
6,ptype_6,False,E,78856,84.28598965202394,86.0,10.068046648809677,58.0,82.0,89.0,96.0,52.0,99.0,84.28598965202394,82.58571428571429,0.0,0.0
6,ptype_6,False,A,78856,76.06014761083495,75.0,10.35363490057382,59.0,70.0,83.0,90.0,54.0,97.0,76.06014761083495,76.9,0.0,0.0
6,ptype_6,False,N,78856,21.40681749010855,18.0,13.921023970105317,3.0,13.0,28.0,50.0,0.0,50.0,21.40681749010855,16.17142857142857,0.0,0.0
7,ptype_7,False,O,498,15.736947791164658,4.0,16.523838211451903,4.0,4.0,39.0,39.0,4.0,39.0,15.736947791164658,21.5,0.0,0.0
7,ptype_7,False,C,498,39.68273092369478,37.0,3.776877305474721,37.0,37.0,45.0,45.0,37.0,45.0,39.68273092369478,41.0,0.0,0.0
7,ptype_7,False,E,498,85.27510040160642,95.0,13.691180232345864,66.0,66.0,95.0,95.0,66.0,95.0,85.27510040160642,80.5,0.0,0.0
7,ptype_7,False,A,498,80.96385542168674,87.0,8.497973937318122,69.0,69.0,87.0,87.0,69.0,87.0,80.96385542168674,78.0,0.0,0.0
7,ptype_7,False,N,498,77.34136546184739,76.0,1.8884386527373604,76.0,76.0,80.0,80.0,76.0,80.0,77.34136546184739,78.0,0.0,0.0
8,ptype_8,False,O,197647,25.02686607942443,25.0,15.898220358929413,3.0,14.0,43.0,50.0,0.0,50.0,25.02686607942443,22.92241379310345,0.0,0.0
8,ptype_8,False,C,197647,77.05902948185401,78.0,11.77712464216046,57.0,69.0,85.0,96.0,53.0,99.0,77.05902948185401,77.80172413793103,0.0,0.0
8,ptype_8,False,E,197647,23.12154497665029,24.0,16.08449754455711,1.0,8.0,35.0,50.0,0.0,50.0,23.12154497665029,21.57758620689655,0.0,0.0
8,ptype_8,False,A,197647,17.83762971358027,15.0,13.955442352053813,0.0,9.0,24.0,50.0,0.0,50.0,17.83762971358027,21.93103448275862,0.0,0.0
8,ptype_8,False,N,197647,29.317910213663755,28.0,15.55386618629699,3.0,16.0,45.0,50.0,1.0,50.0,29.317910213663755,26.103448275862068,0.0,0.0
9,ptype_9,True,O,345069,19.219579272551286,12.0,16.977095668028788,1.0,3.0,38.0,50.0,0.0,50.0,19.21957927255129,21.126666666666665,3.552713678800501e-15,0.0
9,ptype_9,True,C,345069,76.64039655836949,75.0,13.16490914390111,54.0,61.0,89.0,95.0,51.0,98.0,76.64039655836949,77.89666666666666,0.0,0.0
9,ptype_9,True,E,345069,12.247759143823409,9.0,13.429170114718856,1.0,1.0,15.0,46.0,0.0,50.0,12.247759143823409,16.26,0.0,0.0
9,ptype_9,True,A,345069,19.42420211609852,18.0,16.29966047233946,1.0,4.0,33.0,50.0,0.0,50.0,19.42420211609852,18.49,0.0,0.0
9,ptype_9,True,N,345069,84.59528384178236,90.0,12.060315175055525,61.0,72.0,94.0,98.0,52.0,99.0,84.59528384178236,84.40333333333334,0.0,0.0
10,ptype_10,False,O,270927,19.418215976997494,17.0,13.139199714470545,2.0,12.0,26.0,50.0,0.0,50.0,19.418215976997494,19.974683544303797,0.0,0.0
10,ptype_10,False,C,270927,79.28441978835627,85.0,14.398233738952488,57.0,61.0,92.0,93.0,52.0,99.0,79.28441978835627,80.4493670886076,0.0,0.0
10,ptype_10,False,E,270927,20.227972848774762,16.0,13.605191091221668,4.0,8.0,35.0,49.0,0.0,50.0,20.22797284877476,18.73417721518987,3.552713678800501e-15,3.552713678800501e-15
10,ptype_10,False,A,270927,81.84609507358071,85.0,14.439745091544413,53.0,70.0,97.0,97.0,52.0,99.0,81.84609507358071,79.32911392405063,0.0,0.0
10,ptype_10,False,N,270927,21.988232992651156,17.0,14.706798093005101,1.0,15.0,40.0,46.0,0.0,50.0,21.988232992651156,22.632911392405063,0.0,0.0
11,ptype_11,False,O,123675,21.9347321609056,17.0,14.827486415781012,2.0,9.0,40.0,44.0,0.0,50.0,21.9347321609056,24.551724137931036,0.0,0.0
11,ptype_11,False,C,123675,75.82892257934101,80.0,13.350267902707216,59.0,59.0,84.0,98.0,54.0,98.0,75.82892257934101,80.74137931034483,0.0,0.0
11,ptype_11,False,E,123675,19.004463311097634,7.0,17.28421369768901,1.0,5.0,39.0,48.0,0.0,50.0,19.00446331109763,18.74137931034483,3.552713678800501e-15,0.0
11,ptype_11,False,A,123675,64.7212694562361,58.0,13.757246094280939,53.0,53.0,73.0,96.0,51.0,98.0,64.7212694562361,74.3103448275862,0.0,0.0
11,ptype_11,False,N,123675,76.5674388518294,87.0,15.700235237314919,53.0,58.0,88.0,99.0,51.0,99.0,76.5674388518294,75.96551724137932,0.0,0.0
12,ptype_12,False,O,102199,16.272610299513694,7.0,17.80904469430933,0.0,3.0,29.0,50.0,0.0,50.0,16.272610299513694,16.493243243243242,0.0,0.0
12,ptype_12,False,C,102199,80.26742433879001,84.0,11.89503933879675,59.0,70.0,90.0,98.0,54.0,98.0,80.26742433879001,78.27702702702703,0.0,0.0
12,ptype_12,False,E,102199,79.44265599467705,85.0,13.540991995649108,54.0,69.0,88.0,98.0,52.0,98.0,79.44265599467705,77.0945945945946,0.0,0.0
12,ptype_12,False,A,102199,15.521976731670565,10.0,14.629504562502115,0.0,4.0,22.0,49.0,0.0,50.0,15.521976731670565,22.16891891891892,0.0,0.0
12,ptype_12,False,N,102199,17.866794195637922,16.0,15.202321593536585,0.0,5.0,25.0,49.0,0.0,50.0,17.866794195637922,19.18243243243243,0.0,0.0
13,ptype_13,False,O,64344,23.425727340544572,21.0,15.878762632648936,0.0,13.0,34.0,45.0,0.0,50.0,23.425727340544572,21.363636363636363,0.0,0.0
13,ptype_13,False,C,64344,74.003714410046,74.0,9.063688163337156,59.0,70.0,74.0,92.0,54.0,98.0,74.003714410046,78.86363636363636,0.0,0.0
13,ptype_13,False,E,64344,77.56667288325252,75.0,12.28880771514665,61.0,64.0,86.0,92.0,52.0,98.0,77.56667288325252,73.54545454545455,0.0,0.0
13,ptype_13,False,A,64344,21.961736914086785,18.0,13.456509279572137,3.0,18.0,30.0,44.0,1.0,50.0,21.961736914086785,20.636363636363637,0.0,0.0
13,ptype_13,False,N,64344,75.90423349496457,78.0,14.398301156616714,55.0,65.0,90.0,97.0,53.0,99.0,75.90423349496457,78.5909090909091,0.0,0.0
14,ptype_14,False,O,67423,29.03842160687006,27.0,18.519911297540357,3.0,6.0,46.0,50.0,0.0,50.0,29.03842160687006,19.721153846153847,0.0,0.0
14,ptype_14,False,C,67423,83.73101167257464,92.0,11.73609266150251,64.0,74.0,92.0,98.0,57.0,99.0,83.73101167257464,83.3076923076923,0.0,0.0
14,ptype_14,False,E,67423,73.32320573098201,75.0,13.428113575544645,54.0,60.0,85.0,93.0,52.0,99.0,73.32320573098201,78.9326923076923,0.0,0.0
14,ptype_14,False,A,67423,69.48929890393485,62.0,13.786497542361849,59.0,62.0,82.0,96.0,53.0,98.0,69.48929890393485,78.36538461538461,0.0,0.0
14,ptype_14,False,N,67423,24.752399032970946,29.0,16.03198258727601,1.0,9.0,42.0,46.0,0.0,47.0,24.752399032970946,16.884615384615383,0.0,0.0
15,ptype_15,False,O,19430,15.049202264539373,24.0,15.012999963944614,0.0,0.0,24.0,50.0,0.0,50.0,15.049202264539373,21.5,0.0,0.0
15,ptype_15,False,C,19430,81.93216675244467,86.0,13.25830437435934,68.0,68.0,98.0,98.0,68.0,98.0,81.93216675244467,86.5,0.0,0.0
15,ptype_15,False,E,19430,87.1385486361297,94.0,14.688957320649445,59.0,87.0,96.0,96.0,52.0,96.0,87.1385486361297,79.0,0.0,0.0
15,ptype_15,False,A,19430,70.14889346371591,72.0,14.08677294348754,58.0,58.0,72.0,96.0,53.0,96.0,70.14889346371591,69.14285714285714,0.0,0.0
15,ptype_15,False,N,19430,66.28255275347401,63.0,8.304469852173133,56.0,63.0,69.0,88.0,53.0,89.0,66.28255275347401,72.0,0.0,0.0
16,ptype_16,False,O,60871,75.61224556849731,81.0,9.500123713929634,62.0,70.0,85.0,89.0,58.0,95.0,75.61224556849731,76.44827586206897,0.0,0.0
16,ptype_16,False,C,60871,25.744607448538712,17.0,16.260728475543598,9.0,10.0,45.0,50.0,0.0,50.0,25.744607448538712,28.310344827586206,0.0,0.0
16,ptype_16,False,E,60871,26.800709697557128,22.0,13.001794597971388,6.0,18.0,35.0,50.0,0.0,50.0,26.800709697557128,27.724137931034484,0.0,0.0
16,ptype_16,False,A,60871,28.767311199093164,38.0,16.536033186671116,5.0,7.0,43.0,50.0,0.0,50.0,28.767311199093164,19.86206896551724,0.0,3.552713678800501e-15
16,ptype_16,False,N,60871,21.489576317129668,15.0,13.820099113051166,5.0,9.0,35.0,40.0,4.0,43.0,21.489576317129668,22.655172413793103,0.0,0.0
17,ptype_17,False,O,125443,72.12002263976467,76.0,12.351780434750717,52.0,64.0,76.0,96.0,52.0,99.0,72.12002263976467,74.36170212765957,0.0,0.0
17,ptype_17,False,C,125443,35.29052238865461,40.0,15.437444553416304,1.0,30.0,47.0,50.0,1.0,50.0,35.29052238865461,28.06382978723404,0.0,0.0
17,ptype_17,False,E,125443,19.13264191704599,15.0,17.804043154322517,1.0,1.0,35.0,46.0,1.0,50.0,19.13264191704599,22.95744680851064,0.0,0.0
17,ptype_17,False,A,125443,12.54656696667012,4.0,13.778257492421465,1.0,4.0,23.0,40.0,0.0,50.0,12.54656696667012,11.319148936170214,0.0,0.0
17,ptype_17,False,N,125443,78.26405618488079,75.0,13.66910773580899,55.0,75.0,88.0,99.0,54.0,100.0,78.26405618488079,83.63829787234043,0.0,0.0
18,ptype_18,False,O,16183,61.98467527652475,58.0,9.282690187175168,56.0,56.0,70.0,85.0,55.0,94.0,61.98467527652475,75.0,0.0,0.0
18,ptype_18,False,C,16183,24.840635234505346,34.0,14.570864022785308,9.0,9.0,38.0,44.0,9.0,50.0,24.840635234505346,29.470588235294116,0.0,0.0
18,ptype_18,False,E,16183,24.44478774022122,18.0,16.42397019978028,8.0,8.0,44.0,44.0,1.0,49.0,24.44478774022122,20.470588235294116,0.0,0.0
18,ptype_18,False,A,16183,69.37539393190384,70.0,6.482725951610413,58.0,66.0,74.0,79.0,54.0,95.0,69.37539393190384,75.82352941176471,0.0,0.0
18,ptype_18,False,N,16183,15.867329914107396,9.0,11.902418329542469,4.0,4.0,25.0,43.0,2.0,49.0,15.867329914107396,23.529411764705884,0.0,0.0
19,ptype_19,False,O,28097,75.62302025127238,70.0,7.547981622177242,70.0,70.0,86.0,86.0,70.0,91.0,75.62302025127238,81.0,0.0,0.0
19,ptype_19,False,C,28097,41.86450510730683,42.0,5.894467534520678,42.0,42.0,45.0,45.0,8.0,50.0,41.86450510730683,32.142857142857146,0.0,0.0
19,ptype_19,False,E,28097,23.690821084101504,28.0,7.575793395830583,8.0,25.0,28.0,28.0,8.0,28.0,23.690821084101504,16.142857142857142,0.0,0.0
19,ptype_19,False,A,28097,58.774922589600315,57.0,3.6490946477812005,57.0,57.0,59.0,62.0,53.0,84.0,58.774922589600315,63.57142857142857,0.0,0.0
19,ptype_19,False,N,28097,57.42605972167847,51.0,8.638724619525203,51.0,51.0,67.0,72.0,51.0,74.0,57.42605972167847,63.285714285714285,0.0,0.0
20,ptype_20,False,O,58662,77.83652108690464,83.0,10.565218839308935,53.0,70.0,87.0,87.0,51.0,95.0,77.83652108690464,74.55,0.0,0.0
20,ptype_20,False,C,58662,22.36575636698374,26.0,16.273999898958312,5.0,7.0,37.0,50.0,1.0,50.0,22.36575636698374,25.233333333333334,0.0,0.0
20,ptype_20,False,E,58662,74.96534383416862,79.0,11.303891255651815,61.0,63.0,84.0,94.0,54.0,97.0,74.96534383416862,75.8,0.0,0.0
20,ptype_20,False,A,58662,14.050407418771949,15.0,10.645218817235031,1.0,1.0,17.0,30.0,1.0,50.0,14.050407418771949,16.566666666666666,0.0,0.0
20,ptype_20,False,N,58662,35.86524496266748,44.0,15.434238117695857,5.0,27.0,49.0,50.0,0.0,50.0,35.86524496266748,29.466666666666665,0.0,0.0
21,ptype_21,False,O,27804,75.15037404689973,85.0,12.971362010851275,56.0,56.0,85.0,85.0,56.0,98.0,75.15037404689973,78.73684210526316,0.0,0.0
21,ptype_21,False,C,27804,46.12972953531866,50.0,8.464561057665023,20.0,46.0,50.0,50.0,0.0,50.0,46.12972953531866,30.0,0.0,0.0
21,ptype_21,False,E,27804,73.10408574305855,85.0,14.436030039785209,54.0,54.0,85.0,85.0,54.0,98.0,73.10408574305855,76.47368421052632,0.0,0.0
21,ptype_21,False,A,27804,17.407423392317654,5.0,16.769471499025634,5.0,5.0,42.0,42.0,0.0,50.0,17.407423392317654,19.42105263157895,0.0,0.0
21,ptype_21,False,N,27804,85.22863616745792,85.0,9.782326568962867,58.0,85.0,95.0,95.0,52.0,97.0,85.22863616745792,76.89473684210526,0.0,0.0
22,ptype_22,False,O,15075,90.89426202321725,96.0,10.356771536585557,65.0,96.0,96.0,96.0,58.0,96.0,90.89426202321724,78.625,1.4210854715202004e-14,0.0
22,ptype_22,False,C,15075,48.501426202321724,50.0,4.2385322355211885,44.0,50.0,50.0,50.0,30.0,50.0,48.50142620232173,42.75,7.105427357601002e-15,0.0
22,ptype_22,False,E,15075,92.54142620232173,96.0,8.473150959738106,71.0,96.0,96.0,97.0,52.0,97.0,92.54142620232172,75.375,1.4210854715202004e-14,0.0
22,ptype_22,False,A,15075,88.95867330016584,94.0,9.62961591744341,66.0,94.0,94.0,94.0,62.0,94.0,88.95867330016584,76.75,0.0,0.0
22,ptype_22,False,N,15075,22.443316749585406,22.0,7.758957009469383,11.0,22.0,22.0,44.0,6.0,44.0,22.443316749585406,20.0,0.0,0.0
23,ptype_23,True,O,486,83.5246913580247,91.0,13.215778363162963,54.0,79.0,91.0,91.0,54.0,91.0,83.5246913580247,70.2,0.0,0.0
23,ptype_23,True,C,486,14.006172839506172,12.0,3.4309717040984236,12.0,12.0,19.0,20.0,2.0,20.0,14.006172839506172,14.4,0.0,0.0
23,ptype_23,True,E,486,60.52057613168724,56.0,9.895471616644095,56.0,56.0,59.0,85.0,56.0,85.0,60.52057613168724,71.2,0.0,0.0
23,ptype_23,True,A,486,58.890946502057616,51.0,13.947522175078213,51.0,51.0,69.0,94.0,51.0,94.0,58.890946502057616,74.6,0.0,0.0
23,ptype_23,True,N,486,75.26748971193416,75.0,6.112664169229235,63.0,75.0,75.0,88.0,56.0,88.0,75.26748971193416,69.8,0.0,0.0
24,ptype_24,False,O,120763,80.76031565959772,85.0,12.490685925436464,57.0,77.0,89.0,96.0,51.0,100.0,80.76031565959772,78.96825396825396,0.0,0.0
24,ptype_24,False,C,120763,76.92666628023484,80.0,14.187795688723249,53.0,61.0,88.0,95.0,53.0,99.0,76.92666628023484,79.44444444444444,0.0,0.0
24,ptype_24,False,E,120763,25.928566696753144,23.0,11.716294328777145,8.0,17.0,35.0,46.0,0.0,50.0,25.928566696753144,25.325396825396822,0.0,3.552713678800501e-15
24,ptype_24,False,A,120763,32.344923527901756,37.0,14.627696283637949,3.0,24.0,44.0,50.0,0.0,50.0,32.344923527901756,27.20634920634921,0.0,3.552713678800501e-15
24,ptype_24,False,N,120763,25.484651755918616,31.0,15.580503430977569,5.0,10.0,40.0,50.0,0.0,50.0,25.484651755918616,23.825396825396822,0.0,3.552713678800501e-15
25,ptype_25,False,O,273049,79.50859735798336,83.0,12.598818086182574,55.0,70.0,91.0,94.0,52.0,99.0,79.50859735798336,76.4327731092437,0.0,0.0
25,ptype_25,False,C,273049,80.14530908371758,85.0,12.827915013259727,55.0,69.0,90.0,97.0,51.0,99.0,80.14530908371758,79.73949579831933,0.0,0.0
25,ptype_25,False,E,273049,23.028344729334297,20.0,13.75454279815258,2.0,9.0,35.0,44.0,0.0,50.0,23.028344729334297,21.869747899159663,0.0,0.0
25,ptype_25,False,A,273049,24.861028606587094,23.0,16.823008612311636,1.0,9.0,43.0,46.0,0.0,50.0,24.861028606587094,18.23949579831933,0.0,0.0
25,ptype_25,False,N,273049,78.63768041633553,75.0,13.367227693491616,52.0,72.0,92.0,98.0,52.0,99.0,78.63768041633553,80.10504201680672,0.0,0.0
26,ptype_26,False,O,82449,76.8765236691773,74.0,10.247193527364255,54.0,71.0,84.0,97.0,51.0,97.0,76.8765236691773,74.90425531914893,0.0,0.0
26,ptype_26,False,C,82449,85.88472267704884,92.0,12.749077249646808,61.0,80.0,95.0,99.0,55.0,99.0,85.88472267704884,83.79787234042553,0.0,0.0
26,ptype_26,False,E,82449,18.36714817644847,17.0,10.161070495134219,3.0,15.0,22.0,35.0,1.0,50.0,18.36714817644847,22.680851063829788,0.0,0.0
26,ptype_26,False,A,82449,75.23640674841417,78.0,14.663022361286677,57.0,62.0,91.0,96.0,53.0,99.0,75.23640674841417,78.01063829787235,0.0,0.0
26,ptype_26,False,N,82449,29.46008441582069,30.0,16.841393772872163,1.0,13.0,47.0,50.0,0.0,50.0,29.46008441582069,22.47872340425532,0.0,0.0
27,ptype_27,False,O,38458,67.96553382911227,61.0,13.154220568930723,55.0,55.0,80.0,88.0,51.0,97.0,67.96553382911227,72.03846153846153,0.0,0.0
27,ptype_27,False,C,38458,86.82424983098446,92.0,9.959057462418212,69.0,81.0,96.0,96.0,53.0,97.0,86.82424983098446,81.33333333333333,0.0,0.0
27,ptype_27,False,E,38458,19.413321025534348,20.0,10.562967668459127,0.0,13.0,25.0,39.0,0.0,50.0,19.413321025534348,21.397435897435894,0.0,3.552713678800501e-15
27,ptype_27,False,A,38458,80.57122055229081,84.0,10.966618331902131,58.0,72.0,90.0,92.0,56.0,98.0,80.57122055229081,76.43589743589743,0.0,0.0
27,ptype_27,False,N,38458,81.61416350304228,89.0,13.009342018248809,58.0,73.0,90.0,97.0,51.0,97.0,81.61416350304228,76.93589743589743,0.0,0.0
28,ptype_28,False,O,77420,80.96582924308964,85.0,12.092555824607773,59.5,70.0,91.0,95.0,51.0,99.0,80.96582924308964,78.84821428571429,0.0,0.0
28,ptype_28,False,C,77420,76.33529449754586,80.0,14.667437362331079,57.0,61.0,91.0,96.0,52.0,98.0,76.33529449754586,77.98214285714286,0.0,0.0
28,ptype_28,False,E,77420,79.01000387496771,81.0,13.106271559748283,57.0,66.0,94.0,96.0,51.5,97.0,79.01000387496771,74.01785714285714,0.0,0.0
28,ptype_28,False,A,77420,18.139104882459314,7.0,17.298366635191964,0.0,5.0,35.0,50.0,0.0,50.0,18.13910488245931,23.830357142857142,3.552713678800501e-15,0.0
28,ptype_28,False,N,77420,29.493341513820717,38.0,16.579912953050936,1.0,10.0,43.0,49.0,0.0,50.0,29.493341513820717,25.026785714285715,0.0,0.0
29,ptype_29,False,O,85323,81.75263996812114,80.0,9.84662188531012,61.5,79.0,88.0,98.0,54.0,99.0,81.75263996812114,78.3625,0.0,0.0
29,ptype_29,False,C,85323,74.67519308978822,79.0,13.01115944395394,59.0,59.0,85.0,93.0,51.0,98.0,74.67519308978822,79.05,0.0,0.0
29,ptype_29,False,E,85323,77.58519977028469,73.0,13.364593520808683,60.0,65.0,89.0,97.0,51.0,98.0,77.58519977028469,73.425,0.0,0.0
29,ptype_29,False,A,85323,25.168289910106303,19.0,15.049734334391083,1.0,14.0,40.0,48.0,0.0,50.0,25.168289910106303,21.4375,0.0,0.0
29,ptype_29,False,N,85323,68.30242724704945,63.0,14.090402211093572,54.0,57.0,71.0,98.0,52.0,99.0,68.30242724704945,76.1125,0.0,0.0
30,ptype_30,False,O,89461,72.86984272476275,73.0,12.724820407820133,54.0,65.0,79.0,94.0,51.0,100.0,72.86984272476275,75.43617021276596,0.0,0.0
30,ptype_30,False,C,89461,76.72181173919361,83.0,13.637480387354202,54.0,69.0,88.0,95.0,53.0,99.0,76.72181173919361,80.86170212765957,0.0,0.0
30,ptype_30,False,E,89461,74.35655760610769,71.0,11.170140581713571,56.0,67.0,85.0,88.0,52.5,97.0,74.35655760610769,77.5,0.0,0.0
30,ptype_30,False,A,89461,67.80865405036832,60.0,13.496388711214497,53.0,58.0,80.0,94.0,52.5,99.0,67.80865405036832,74.54255319148936,0.0,0.0
30,ptype_30,False,N,89461,20.106253004102346,21.0,13.253249652516335,1.0,10.0,27.0,48.0,1.0,50.0,20.106253004102346,20.159574468085108,0.0,0.0
31,ptype_31,True,O,93178,68.91137392946833,67.0,13.399835190813826,53.0,57.0,85.0,85.0,51.5,98.0,68.91137392946833,70.38709677419355,0.0,0.0
31,ptype_31,True,C,93178,76.65535319496018,77.0,14.287946852485986,58.0,58.0,86.0,97.0,50.5,100.0,76.65535319496018,81.88709677419355,0.0,0.0
31,ptype_31,True,E,93178,76.05386464616112,68.0,16.39601218660274,53.0,61.0,98.0,98.0,52.0,98.0,76.05386464616112,70.64516129032258,0.0,0.0
31,ptype_31,True,A,93178,71.1614436884243,74.0,11.598172024494303,54.0,59.0,79.0,93.0,53.0,98.0,71.1614436884243,74.61290322580645,0.0,0.0
31,ptype_31,True,N,93178,67.46120865440339,67.0,8.787169522807455,55.0,62.0,71.0,86.0,54.0,99.0,67.46120865440339,72.95161290322581,0.0,0.0
